dataset_key,model_key,num_pairs,similarity,top_k,q_to_a_top1,q_to_a_top5,a_to_q_top1,a_to_q_top5
patient_doctor_qa_tr_1500,multilingual_e5_large_instruct,1500,angle,5,0.44666666666666666,0.7266666666666667,0.492,0.8006666666666666
patient_doctor_qa_tr_1500,bge_m3,1500,angle,5,0.4886666666666667,0.786,0.44866666666666666,0.7333333333333333
patient_doctor_qa_tr_1500,multilingual_e5_large,1500,angle,5,0.32666666666666666,0.5566666666666666,0.464,0.7553333333333333
patient_doctor_qa_tr_1500,kalm_embedding_multilingual_mini,1500,angle,5,0.2673333333333333,0.49866666666666665,0.2813333333333333,0.5253333333333333
patient_doctor_qa_tr_1500,gte_multilingual_base,1500,angle,5,0.442,0.7346666666666667,0.45666666666666667,0.7506666666666667
patient_doctor_qa_tr_1500,turkish_e5_large,1500,angle,5,0.5133333333333333,0.808,0.5153333333333333,0.798
